iter	Passed	Remaining
990	36856	334
991	36885	297
992	36918	260
993	36955	223
994	36985	185
995	37019	148
996	37058	111
997	37087	74
998	37120	37
999	37168	0
